SDP_Id,MSISDN_START,MSISDN_END
meylvvmsdp06a,44044000,44044099
meylvvmsdp06a,44044100,44044199
meylvvmsdp06a,44044200,44044299
meylvvmsdp06a,44044300,44044399
meylvvmsdp06a,44044400,44044499
meylvvmsdp06a,44044500,44044599
meylvvmsdp06a,44044600,44044699
meylvvmsdp06a,44044700,44044799
meylvvmsdp06a,44044800,44044899
meylvvmsdp06a,44044900,44044999
meylvvmsdp06a,44045000,44045099
meylvvmsdp06a,44045100,44045199
meylvvmsdp06a,44045200,44045299
meylvvmsdp06a,44045300,44045399
meylvvmsdp06a,44045400,44045499
meylvvmsdp06a,44045500,44045599
meylvvmsdp06a,44045600,44045699
meylvvmsdp06a,44045700,44045799
meylvvmsdp06a,44045800,44045899
meylvvmsdp06a,44045900,44045999
meylvvmsdp06a,44046000,44046099
meylvvmsdp06a,44046100,44046199
meylvvmsdp06a,44046200,44046299
meylvvmsdp06a,44046300,44046399
meylvvmsdp06a,44046400,44046499
meylvvmsdp06a,44046500,44046599
meylvvmsdp06a,44046600,44046699
meylvvmsdp06a,44046700,44046799
meylvvmsdp06a,44046800,44046899
meylvvmsdp06a,44046900,44046999
meylvvmsdp06a,44047000,44047099
meylvvmsdp06a,44047100,44047199
meylvvmsdp06a,44047200,44047299
meylvvmsdp06a,44047300,44047399
meylvvmsdp06a,44047400,44047499
meylvvmsdp06a,44047500,44047599
meylvvmsdp06a,44047600,44047699
meylvvmsdp06a,44047700,44047799
meylvvmsdp06a,44047800,44047899
meylvvmsdp06a,44047900,44047999
meylvvmsdp06a,44048000,44048099
meylvvmsdp06a,44048100,44048199
meylvvmsdp06a,44048200,44048299
meylvvmsdp06a,44048300,44048399
meylvvmsdp06a,44048400,44048499
meylvvmsdp06a,44048500,44048599
meylvvmsdp06a,44048600,44048699
meylvvmsdp06a,44048700,44048799
meylvvmsdp06a,44048800,44048899
meylvvmsdp06a,44048900,44048999
meylvvmsdp06a,44049000,44049099
meylvvmsdp06a,44049100,44049199
meylvvmsdp06a,44049200,44049299
meylvvmsdp06a,44049300,44049399
meylvvmsdp06a,44049400,44049499
meylvvmsdp06a,44049500,44049599
meylvvmsdp06a,44049600,44049699
meylvvmsdp06a,44049700,44049799
meylvvmsdp06a,44049800,44049899
meylvvmsdp06a,44049900,44049999
meylvvmsdp06a,44050000,44050099
meylvvmsdp06a,44050100,44050199
meylvvmsdp06a,44050200,44050299
meylvvmsdp06a,44050300,44050399
meylvvmsdp06a,44050400,44050499
